day,LAD22CD,GLA,trip_count
2021-10-24,E09000011,3904.9312832467263,4066
2021-10-24,E09000012,3604.9305629861515,1587
2021-10-24,E09000013,3374.4158658984834,1454
2021-10-24,E09000014,3976.8568884700157,2171
2021-10-24,E09000015,4486.874597640139,4188
2021-10-24,E09000016,4222.845574985275,5847
2021-10-24,E09000017,4381.875736113447,5191
2021-10-24,E09000018,3781.953643093508,4283
2021-10-24,E09000019,3378.281757526949,1442
2021-10-24,E09000020,3072.3483608120423,1097
2021-10-24,E09000021,4023.20476984803,2471
2021-10-24,E09000022,3697.6101061309832,2800
2021-10-24,E09000023,3698.0260363869693,3407
2021-10-24,E09000024,3643.9714884645496,2961
2021-10-24,E09000025,3657.810698078784,3569
2021-10-24,E09000026,4294.446199808109,4895
2021-10-24,E09000027,3556.218001470296,2611
2021-10-24,E09000028,3493.3502575933107,2727
2021-10-24,E09000029,3784.642760748532,3742
2021-10-24,E09000030,3730.8542977734187,2068
2021-10-24,E09000031,3899.105098114043,2731
2021-10-24,E09000032,3501.9689643670777,3440
2021-10-24,E09000033,3332.0596678051024,1839
2021-10-25,E09000001,3213.3311412131134,162
2021-10-25,E09000002,4253.219610355986,4834
2021-10-25,E09000003,3872.5651006514545,7980
2021-10-25,E09000004,4111.48435135285,6311
2021-10-25,E09000005,3637.284602555055,4652
2021-10-25,E09000006,4382.306435689409,8097
2021-10-25,E09000007,3216.846683096517,2212
2021-10-25,E09000008,3958.9181549229024,7459
2021-10-25,E09000009,3929.6676724433128,5357
2021-10-25,E09000010,4172.775716064477,5032
2021-10-25,E09000011,3927.8080482379937,4842
2021-10-25,E09000012,3442.3645764772477,1765
2021-10-25,E09000013,3302.180124618839,1704
2021-10-25,E09000014,4005.5988288984627,2389
2021-10-25,E09000015,4292.3332706715955,4997
2021-10-25,E09000016,4411.746926531009,6918
2021-10-25,E09000017,4339.217649650882,6537
2021-10-25,E09000018,3778.5279981880894,5205
2021-10-25,E09000019,3122.6054690489163,1614
2021-10-25,E09000020,3210.9293283390984,1207
2021-10-25,E09000021,3821.342391524669,2904
2021-10-25,E09000022,3459.6813496359687,3242
2021-10-25,E09000023,3755.609421123076,4105
2021-10-25,E09000024,3578.1414309064944,3792
2021-10-25,E09000025,3748.0210840263576,4280
2021-10-25,E09000026,4328.9378362557645,5375
2021-10-25,E09000027,3641.3889206545928,3181
2021-10-25,E09000028,3145.2414799736225,3019
2021-10-25,E09000029,3662.111876797437,5122
2021-10-25,E09000030,3467.7300492387994,2373
2021-10-25,E09000031,3805.3762146626814,3651
