day,LAD22CD,activity_count
2021-10-29,E09000013,1812
2021-10-29,E09000014,1527
2021-10-29,E09000015,1924
2021-10-29,E09000016,3694
2021-10-29,E09000017,3481
2021-10-29,E09000018,2266
2021-10-29,E09000019,1248
2021-10-29,E09000020,1754
2021-10-29,E09000021,1766
2021-10-29,E09000022,2158
2021-10-29,E09000023,1894
2021-10-29,E09000024,1788
2021-10-29,E09000025,2656
2021-10-29,E09000026,2183
2021-10-29,E09000027,1835
2021-10-29,E09000028,2429
2021-10-29,E09000029,2004
2021-10-29,E09000030,1927
2021-10-29,E09000031,1650
2021-10-29,E09000032,2606
2021-10-29,E09000033,5381
2021-10-3,E09000001,424
2021-10-3,E09000002,1424
2021-10-3,E09000003,2942
2021-10-3,E09000004,2332
2021-10-3,E09000005,2081
2021-10-3,E09000006,3708
2021-10-3,E09000007,1612
2021-10-3,E09000008,2938
2021-10-3,E09000009,2236
2021-10-3,E09000010,1989
2021-10-3,E09000011,2411
2021-10-3,E09000012,843
2021-10-3,E09000013,1273
2021-10-3,E09000014,1807
2021-10-3,E09000015,1791
2021-10-3,E09000016,2924
2021-10-3,E09000017,2983
2021-10-3,E09000018,2090
2021-10-3,E09000019,798
2021-10-3,E09000020,1193
2021-10-3,E09000021,1272
2021-10-3,E09000022,1521
2021-10-3,E09000023,1406
2021-10-3,E09000024,1577
2021-10-3,E09000025,2420
2021-10-3,E09000026,2149
2021-10-3,E09000027,1722
2021-10-3,E09000028,1611
2021-10-3,E09000029,1810
2021-10-3,E09000030,1643
2021-10-3,E09000031,1325
2021-10-3,E09000032,1823
2021-10-3,E09000033,3948
2021-10-30,E09000001,642
2021-10-30,E09000002,1930
2021-10-30,E09000003,3333
2021-10-30,E09000004,3137
2021-10-30,E09000005,2702
2021-10-30,E09000006,4746
2021-10-30,E09000007,2374
2021-10-30,E09000008,3614
2021-10-30,E09000009,2860
2021-10-30,E09000010,2524
2021-10-30,E09000011,3282
2021-10-30,E09000012,1211
2021-10-30,E09000013,1912
2021-10-30,E09000014,2069
2021-10-30,E09000015,2142
2021-10-30,E09000016,3910
2021-10-30,E09000017,3716
2021-10-30,E09000018,2522
2021-10-30,E09000019,1141
2021-10-30,E09000020,1793
2021-10-30,E09000021,1917
2021-10-30,E09000022,2296
2021-10-30,E09000023,2010
2021-10-30,E09000024,1986
2021-10-30,E09000025,2729
2021-10-30,E09000026,2456
2021-10-30,E09000027,1909
2021-10-30,E09000028,2466
